id,slug,link,primary_image_url,primary_image_caption
8798,2024/11/11/no-jobs-for-graduates-if-union-bans-oil-and-gas-sponsorships-engineers-warn,https://cheesegratermagazine.org/2024/11/11/no-jobs-for-graduates-if-union-bans-oil-and-gas-sponsorships-engineers-warn/,https://cheesegratermagazine.org/wp-content/uploads/2024/11/IMG_4629-1100x825.jpg,Unemployed gang... The first Activities Zone of the year was packed with Cheese Grater journalists. Photograph by Nick Miao
8764,2024/11/11/spotted-on-uclove,https://cheesegratermagazine.org/2024/11/11/spotted-on-uclove/,,
8743,2024/11/11/ucl-apologises-for-viral-clip-showing-live-worm-in-ramsay-food,https://cheesegratermagazine.org/2024/11/11/ucl-apologises-for-viral-clip-showing-live-worm-in-ramsay-food/,https://cheesegratermagazine.org/wp-content/uploads/2024/11/WhatsApp-Image-2024-10-28-at-11.24.49-AM-e1731276668120.jpeg,Dead inside: I think the tangerine’s rotten right to the core… 🎶 (Credit: Coryn Gyimah)
8668,2024/11/11/bloomsbury-s-bananas-a-tale-of-massacres-coups-and-ethical-consumption,https://cheesegratermagazine.org/2024/11/11/bloomsburys-bananas-a-tale-of-massacres-coups-and-ethical-consumption/,https://cheesegratermagazine.org/wp-content/uploads/2024/11/1024px-Chiquita_logo_2019.svg1_-300x364.png,
8892,2024/11/11/significant-increase-in-phone-and-internet-scams-ucl-s-cybersecurity-chief-warns,https://cheesegratermagazine.org/2024/11/11/significant-increase-in-phone-and-internet-scams-ucls-cybersecurity-chief-warns/,https://cheesegratermagazine.org/wp-content/uploads/2024/11/DSC00610_71de2.jpg,“Whoops that one was Eduroam” (Credit: Alejandro Walter Salinas Lopez/UCL Imagestore)
8728,2024/11/11/scabies-crisis-under-the-radar-despite-rising-cases-of-infection-across-the-uk,https://cheesegratermagazine.org/2024/11/11/scabies-crisis-under-the-radar-despite-rising-cases-of-infection-across-the-uk/,https://cheesegratermagazine.org/wp-content/uploads/2024/11/16759309287_5244763901_k-1100x619.jpg,"Close to home: UCLH reported a 66% increase in scabies diagnoses (Credit: Colin Anderson via Flickr, CC BY 2.0)"
8594,2024/11/04/government-to-hike-tuition-fees-after-budget-fail-to-mention-students,https://cheesegratermagazine.org/2024/11/04/government-to-hike-tuition-fees-after-budget-fail-to-mention-students/,https://cheesegratermagazine.org/wp-content/uploads/2024/11/53581303148_a7acdb0f20_k-1100x733.jpg,"“Sorry kid, but you don't fit my definition of working people.”"
8534,2024/10/31/ucl-themed-halloween-costume-ideas,https://cheesegratermagazine.org/2024/10/31/ucl-themed-halloween-costume-ideas/,https://cheesegratermagazine.org/wp-content/uploads/2024/10/jb-pb-colour.png,Graphic by Kotryna Taujanskaite
8551,2024/10/31/dear-phantom-flatmate,https://cheesegratermagazine.org/2024/10/31/phantom-flatmate/,,
8737,2024/10/31/bentham-box-suggestions,https://cheesegratermagazine.org/2024/10/31/bentham-box-proposals/,,
